ratio,contourApprox,contourEdge,shapeClass
3.21,4,4,kare
3.12,4,4,kare
3.18,4,4,kare
3.13,4,4,kare
3.07,4,4,kare
2.92,4,4,kare
2.91,4,4,kare
3.21,4,4,kare
2.85,4,4,kare
2.95,4,4,kare
2.91,4,4,kare
3.07,4,4,kare
2.92,4,4,kare
2.94,4,4,kare
2.94,4,4,kare
3.06,4,4,kare
3.02,4,4,kare
2.99,4,4,kare
3.07,4,4,kare
2.98,4,4,kare
2.93,4,4,kare
2.93,4,4,kare
3.16,4,4,kare
3.05,4,4,kare
3.18,4,4,kare
3.05,4,4,kare
3.08,4,4,kare
3.13,4,4,kare
3.0,4,3,kare
2.86,4,4,kare
2.83,4,4,kare
3.77,4,4,cember
3.32,4,3,cember
3.32,4,4,cember
3.37,4,4,cember
3.32,4,5,cember
3.28,4,4,cember
3.37,4,4,cember
3.33,4,2,cember
3.24,4,4,cember
3.39,4,4,cember
3.4,4,4,cember
3.32,4,4,cember
3.31,4,4,cember
3.29,4,5,cember
3.33,4,3,cember
3.39,4,4,cember
3.46,4,5,cember
3.28,4,5,cember
3.31,4,4,cember
3.33,4,4,cember
3.35,4,5,cember
3.43,4,5,cember
3.36,4,5,cember
3.24,4,5,cember
3.44,4,4,cember
3.26,4,3,cember
3.46,4,4,cember
