ratio,contourApprox,contourEdge,shapeClass
3.21,4,4,kare
3.12,4,4,kare
3.18,4,4,kare
3.13,4,4,kare
3.07,4,4,kare
2.92,4,4,kare
2.91,4,4,kare
3.21,4,4,kare
2.85,4,4,kare
2.95,4,4,kare
2.91,4,4,kare
3.07,4,4,kare
2.92,4,4,kare
2.94,4,4,kare
2.94,4,4,kare
3.06,4,4,kare
3.02,4,4,kare
2.99,4,4,kare
3.07,4,4,kare
2.98,4,4,kare
2.93,4,4,kare
2.93,4,4,kare
3.16,4,4,kare
3.05,4,4,kare
3.18,4,4,kare
3.05,4,4,kare
3.08,4,4,kare
3.13,4,4,kare
3.0,4,3,kare
2.86,4,4,kare
2.83,4,4,kare
3.77,4,4,cember
3.32,4,3,cember
3.32,4,4,cember
3.37,4,4,cember
3.32,4,5,cember
3.28,4,4,cember
3.37,4,4,cember
3.33,4,2,cember
3.24,4,4,cember
3.39,4,4,cember
3.4,4,4,cember
3.32,4,4,cember
3.31,4,4,cember
3.29,4,5,cember
3.33,4,3,cember
3.39,4,4,cember
3.46,4,5,cember
3.28,4,5,cember
3.31,4,4,cember
3.33,4,4,cember
3.35,4,5,cember
3.43,4,5,cember
3.36,4,5,cember
3.24,4,5,cember
3.44,4,4,cember
3.26,4,3,cember
3.46,4,4,cember
2.53,4,2,dikdortgen
3.05,4,2,dikdortgen
2.46,2,2,dikdortgen
2.43,2,2,dikdortgen
2.49,3,2,dikdortgen
2.35,2,2,dikdortgen
2.56,4,2,dikdortgen
2.6,4,2,dikdortgen
2.77,4,4,dikdortgen
2.82,4,4,dikdortgen
2.59,4,2,dikdortgen
2.78,4,2,dikdortgen
2.73,4,2,dikdortgen
2.48,2,2,dikdortgen
2.63,4,2,dikdortgen
2.85,4,2,dikdortgen
2.76,4,2,dikdortgen
2.72,4,2,dikdortgen
2.57,4,2,dikdortgen
2.74,4,2,dikdortgen
2.69,4,2,dikdortgen
2.6,4,2,dikdortgen
2.64,4,2,dikdortgen
2.7,4,2,dikdortgen
2.6,4,2,dikdortgen
2.65,4,2,dikdortgen
2.75,4,2,dikdortgen
2.73,4,2,dikdortgen
2.51,4,2,dikdortgen
2.57,3,2,dikdortgen
2.64,4,2,dikdortgen
2.87,4,4,dikdortgen
2.67,4,2,dikdortgen
2.72,4,2,dikdortgen
2.76,4,2,dikdortgen
2.86,4,4,dikdortgen
2.55,4,2,dikdortgen
2.73,2,3,dikdortgen
2.53,2,3,dikdortgen
2.67,2,3,dikdortgen
2.51,2,2,dikdortgen
2.51,3,2,dikdortgen
2.77,4,3,dikdortgen
2.53,2,2,dikdortgen
2.72,4,3,dikdortgen
2.53,3,2,ucgen
2.41,3,2,ucgen
2.44,3,3,ucgen
2.59,3,3,ucgen
2.5,3,3,ucgen
2.51,3,3,ucgen
2.55,3,3,ucgen
2.61,3,3,ucgen
2.43,3,2,ucgen
2.48,3,3,ucgen
2.53,3,2,ucgen
2.41,3,2,ucgen
2.44,3,3,ucgen
2.59,3,3,ucgen
2.5,3,3,ucgen
2.51,3,3,ucgen
2.55,3,3,ucgen
2.61,3,3,ucgen
2.43,3,2,ucgen
2.48,3,3,ucgen
2.39,3,2,ucgen
2.56,3,3,ucgen
2.63,3,3,ucgen
2.53,3,3,ucgen
2.54,3,4,ucgen
2.46,3,3,ucgen
2.72,3,3,ucgen
2.49,3,3,ucgen
2.47,3,3,ucgen
2.5,3,3,ucgen
2.46,3,3,ucgen
2.47,3,3,ucgen
3.1,4,4,besgen
3.15,4,5,besgen
3.12,4,5,besgen
3.07,5,5,besgen
3.16,5,5,besgen
3.19,4,5,besgen
3.2,4,5,besgen
3.24,4,4,besgen
3.18,4,5,besgen
3.18,4,5,besgen
3.12,4,5,besgen
3.32,4,5,besgen
3.21,4,4,besgen
3.24,4,5,besgen
3.12,5,5,besgen
3.17,4,5,besgen
3.08,4,5,besgen
3.11,4,5,besgen
3.08,5,5,besgen
2.88,4,2,besgen
3.14,4,4,besgen
3.08,4,5,besgen
3.31,4,5,besgen
3.49,4,5,besgen
3.23,4,5,besgen
3.2,4,5,besgen
3.18,4,3,besgen
3.39,4,5,besgen
3.34,4,5,besgen
3.17,4,5,besgen
3.11,4,5,besgen
3.1,4,5,besgen
3.25,4,5,besgen
3.21,4,5,besgen
3.35,4,5,besgen
3.41,4,4,altigen
3.14,4,3,altigen
3.1,4,4,altigen
2.8,4,4,altigen
2.9,4,3,altigen
3.21,4,5,altigen
2.82,4,3,altigen
3.1,4,4,altigen
3.07,4,4,altigen
2.99,4,4,altigen
3.15,4,2,altigen
3.22,4,3,altigen
3.24,4,4,altigen
3.14,4,4,altigen
3.27,4,4,altigen
3.24,4,5,altigen
3.13,4,4,altigen
3.17,4,3,altigen
3.2,4,4,altigen
3.22,4,4,altigen
3.21,4,3,altigen
3.05,4,3,altigen
3.26,4,4,altigen
2.97,4,3,altigen
2.93,4,2,altigen
3.1,4,4,altigen
3.25,4,4,altigen
3.13,4,3,altigen
2.85,4,2,altigen
3.26,4,4,altigen
3.25,4,2,altigen
